Date,Source,Display_label,Description,number,Species
11-Jan-16,https://en.wikipedia.org/wiki/Felidae,Felidae,list of felid species,87,"Felis bieti,Felis catus,Felis chaus,Felis margarita,Felis nigripes,Felis silvestris,Neofelis nebulosa,Neofelis diardi,Panthera leo,Panthera onca,Panthera pardus,Panthera tigris,Panthera uncia,Acinonyx jubatus,Caracal aurata,Caracal caracal,Catopuma badia,Catopuma temminckii,Leopardus braccatus,Leopardus colocolo,Leopardus geoffroyi,Leopardus guigna,Leopardus guttulus,Leopardus jacobita,Leopardus pajeros,Leopardus pardalis,Leopardus tigrinus,Leopardus wiedii,Leptailurus serval,Lynx canadensis,Lynx lynx,Lynx pardinus,Lynx rufus,Otocolobus manul,Pardofelis marmorata,Prionailurus planiceps,Prionailurus rubiginosus,Prionailurus viverrinus,Prionailurus bengalensis,Puma concolor,Puma yagouaroundi,Lynx issiodorensis,Acinonyx pardinensis,Acinonyx aicha,Acinonyx intermedius,Felis attica ,Felis lunensis ,Panthera atrox,Panthera blytheae,Panthera combaszoe,Panthera crassidens,Panthera gombaszoegensis,Panthera palaeosinensis,Panthera schreuderi,Panthera spelaea,Panthera toscana,Panthera youngi,Panthera zdanskyi,Puma pardoides,Dinofelis aronoki,Dinofelis barlowi,Dinofelis cristata,Dinofelis darti,Dinofelis diastemata,Dinofelis paleoonca,Dinofelis petteri,Dinofelis piveteaui,Miracinonyx inexpectatus,Miracinonyx trumani,Nimravides pedionomus,Nimravides hibbardi,Nimravides galiani,Nimravides thinobates,Pratifelis martini,Pseudaelurus aeluroides,Pseudaelurus cuspidatus,Pseudaelurus guangheensis,Pseudaelurus intrepidus,Pseudaelurus lorteti,Pseudaelurus marshi,Pseudaelurus quadridentatus,Pseudaelurus romieviensis,Pseudaelurus skinneri,Pseudaelurus stouti,Pseudaelurus turnauensis,Pseudaelurus validus,Proailurus lemanensis"
11-Jan-16,http://botany.si.edu/dcflora/,DC-Baltimore Gymnospermae,Gymnosperms of the DC-Baltimore area,14,"Chamaecyparis thyoides,Juniperus virginiana,Taxodium distichum,Picea abies,Pinus echinata,Pinus pungens,Pinus rigida,Pinus strobus,Pinus sylvestris,Pinus taeda,Pinus virginiana ,Tsuga canadensis,Taxus baccata ,Taxus canadensis"
11-Jan-16,"http://www.animalplanet.com/pets/other-pets/small-pets/,http://www.thetoptens.com/best-house-pets/,http://www.familycircle.com/family-fun/pets/uncommon-pets-for-families/",Pets,Common household pets,30,"Canis lupus familiaris,Felis catus,Oryctolagus cuniculus,Cricetus cricetus,Mesocricetus auratus,Phodopus campbelli,Eublepharis macularius,Rhacodactylus ciliatus,Serinus canaria,Carduelis tristis,Taeniopygia guttata,Erythrura gouldiae,Nymphicus hollandicus,Agapornis fischeri,Melopsittacus undulatus,Psittacus erithacus erithacus,Mustela putorius furo,Trachemys scripta elegans,Terrapene carolina carolina,Cavia porcellus,Betta splendens,Carassius auratus,Poecilia reticulata,Chinchilla chinchilla,Lampropeltis getula californiae,Pantherophis guttatus,Python regius,Coenobita clypeatus,Brachypelma smithi,Grammostola rosea"
11-Jan-16,http://www.allergysf.com/2015/06/02/complete-list-of-tree-nuts-2/,Treenuts,Common treenuts,19,"Prunus dulcis,Fagus sylvatica,Bertholletia excelsa,Juglans cinerea,Anacardium occidentale,Castanea sativa,Castanea pumila,Cocos nucifera,Corylus avellana,Ginkgo biloba,Carya cordiformis,Carya illinoinensis,Litchi chinensis,Macadamia integrifolia,Pinus koraiensis,Canarium ovatum,Pistacia vera,Vitellaria paradoxa,Juglans nigra"
11-Jan-16,http://svalbardflora.no/index.php?id=268,RedList of Svalbard Flora,These are taxa on the Redlist of Svalbard,48,"Alchemilla glomerulans,Arctagrostis latifolia,Arctodupontia scleroclada,Arenaria humifusa,Betula nana ssp. tundrarum,Botrychium boreale,Botrychium lunaria,Calamagrostis purpurascens,Campanula rotundifolia ssp. gieseckiana,Campanula uniflora,Carex bigelowii ssp. arctisibirica,Carex capillaris ssp. fuscidula,Carex concolor,Carex glacialis,Carex krausei,Carex lidii,Carex marina ssp. pseudolagopina,Comastoma tenellum,Coptidium pallasii,Draba fladnizensis,Draba micropetala,Draba pauciflora,Erigeron eriocephalus,Eriophorum sorensenii,Euphrasia wettsteinii,Festuca brachyphylla,Festuca hyperborea,Harrimanella hypnoides,Honckenya peploides ssp. diffusa,Juncus arcticus,Juncus leucochlamys,Kobresia simpliciuscula ssp. subholarctica,Luzula wahlenbergii,Minuartia rossii,Minuartia stricta,Pleuropogon sabinii,Puccinellia coarctata,Puccinellia svalbardensis,Puccinellia vahliana,Pucciphippsia vacillans,Ranunculus glacialis,Ranunculus wilanderi,Rubus chamaemorus,Sagina caespitosa,Salix lanata,Sibbaldia procumbens,Vaccinium uliginosums ssp. microphyllum,Woodsia glabella"
11-Jan-16,https://en.wikipedia.org/wiki/List_of_primates,Primates,List of the primate species,488,"Cheirogaleus medius,Cheirogaleus major,Cheirogaleus crossleyi,Cheirogaleus minusculus,Cheirogaleus sibreei,Cheirogaleus andysabini,Cheirogaleus lavasoensis,Microcebus murinus,Microcebus griseorufus,Microcebus ravelobensis,Microcebus tavaratra,Microcebus sambiranensis,Microcebus simmonsi,Microcebus myoxinus,Microcebus rufus,Microcebus berthae,Microcebus lehilahytsara,Microcebus jollyae,Microcebus macarthurii,Microcebus mittermeieri,Microcebus mamiratra,Microcebus bongolavensis,Microcebus danfossi,Microcebus arnholdi,Microcebus margotmarshae,Microcebus gerpi,Microcebus tanosi,Microcebus marohita,Mirza coquereli,Mirza zaza,Allocebus trichotis,Phaner furcifer,Phaner pallescens,Phaner parienti,Phaner electromontis,Lemur catta,Eulemur albifrons,Eulemur cinereiceps,Eulemur collaris,Eulemur coronatus,Eulemur flavifrons,Eulemur fulvus,Eulemur macaco,Eulemur mongoz,Eulemur rubriventer,Eulemur rufifrons,Eulemur rufus,Eulemur sanfordi,Hapalemur alaotrensis,Hapalemur aureus,Hapalemur griseus,Hapalemur meridionalis,Hapalemur occidentalis,Prolemur simus,Varecia variegata,Varecia rubra,Lepilemur aeeclis,Lepilemur ahmansoni,Lepilemur ankaranensis,Lepilemur betsileo,Lepilemur dorsalis,Lepilemur edwardsi,Lepilemur fleuretae,Lepilemur grewcocki,HLepilemur hubbardi,Lepilemur hollandorum,Lepilemur jamesi,Lepilemur leucopus,Lepilemur microdon,Lepilemur milanoii,Lepilemur mittermeieri,Lepilemur mustelinus,Lepilemur otto,Lepilemur petteri,Lepilemur randrianasoli,Lepilemur ruficaudatus,Lepilemur sahamalazensis,Lepilemur scottorum,Lepilemur seali,Lepilemur septentrionalis,Lepilemur tymerlachsoni,Lepilemur wrighti,Indri indri,Avahi betsileo,Avahi cleesei,Avahi laniger,Avahi meridionalis,Avahi mooreorum,Avahi occidentalis,Avahi peyrierasi,Avahi ramanantsoavani,Avahi unicolor,Propithecus diadema,Propithecus candidus,Propithecus edwardsi,Propithecus perrieri,Propithecus tattersalli,Propithecus verreauxi,Propithecus coquereli,Propithecus deckenii,Propithecus coronatus,Daubentonia madagascariensis,Arctocebus calabarensis,Arctocebus aureus,Perodicticus potto,Pseudopotto martini,Loris tardigradus,Loris lydekkerianus,Nycticebus coucang,Nycticebus bengalensis,Nycticebus pygmaeus,Nycticebus javanicus,Nycticebus menagensis,Nycticebus bancanus,Nycticebus borneanus,Nycticebus kayan,Galago senegalensis,Galago moholi,Galago gallarum,Galago matschiei,Galagoides zanzibaricus,Galagoides granti,Galagoides nyasae,Galagoides orinus,Galagoides rondoensis,Galagoides demidoff,Galagoides thomasi,Galagoides cocos,Otolemur crassicaudatus,Otolemur monteiri,Otolemur garnettii,Euoticus elegantulus,Euoticus pallidus,Sciurocheirus alleni,Sciurocheirus cameronensis,Sciurocheirus gabonensis,Carlito syrichta,Cephalopachus bancanus,Tarsius dentatus,Tarsius lariang,Tarsius pelengensis,Tarsius sangirensis,Tarsius tarsier,Tarsius tumpara,Tarsius pumilus,Tarsius wallacei,Tarsius fuscus,Callithrix geoffroyi,Callithrix jacchus,Mico argentatus,Cebuella pygmaea,Leontopithecus rosalia,Leontopithecus chrysomelas,Callithrix jacchus,Callithrix penicillata,Callithrix kuhlii,Callithrix geoffroyi,Callithrix flaviceps,Callithrix aurita,Mico acariensis,Mico argentatus,Mico leucippe,Mico emiliae,Mico nigriceps,Mico manicorensis,Mico marcai,Mico melanura,Mico humeralifera,Mico mauesi,Mico chrysoleuca,Mico intermedia,Mico saterei,Mico rondoni,Callibella humilis,Cebuella pygmaea,Leontopithecus rosalia,Leontopithecus chrysomelas,Leontopithecus chrysopygus,Leontopithecus caissara,Saguinus midas,Saguinus niger,Saguinus nigricollis,Saguinus graellsi,Saguinus fuscicollis,Saguinus melanoleucus,Saguinus tripartitus,Saguinus mystax,Saguinus pileatus,Saguinus labiatus,Saguinus imperator,Saguinus bicolor,Saguinus martinsi,Saguinus oedipus,Saguinus geoffroyi,Saguinus leucopus,Saguinus inustus,Callimico goeldii,Cebus capucinus,Sapajus apella,Cebus olivaceus,Saimiri sciureus,Saimiri boliviensis,Cebus albifrons,Cebus capucinus,Cebus kaapori,Cebus olivaceus,Sapajus apella,Sapajus cay,Sapajus flavius,Sapajus libidinosus,Sapajus macrocephalus,Sapajus nigritus,Sapajus robustus,Sapajus xanthosternos,Saimiri oerstedii,Saimiri sciureus,Saimiri ustus,Saimiri boliviensis,Saimiri vanzolinii,Aotus lemurinus,Aotus zonalis,Aotus griseimembra,Aotus jorgehernandezi,Aotus brumbacki,Aotus trivirgatus,Aotus vociferans,Aotus miconax,Aotus nancymae,Aotus azarae,Aotus nigriceps,Callicebus donacophilus,Callicebus modestus,Callicebus oenanthe,Callicebus olallae,Callicebus pallescens,Callicebus baptista,Callicebus bernhardi,Callicebus brunneus,Callicebus cinerascens,Callicebus hoffmannsi,Callicebus moloch,Callicebus vieirai,Callicebus miltoni,Callicebus barbarabrownae,Callicebus coimbrai,Callicebus melanochir,Callicebus nigrifrons,Callicebus personatus,Callicebus caligatus,Callicebus cupreus,Callicebus discolor,Callicebus dubius,Callicebus ornatus,Callicebus stephennashi,Callicebus lucifer,Callicebus lugens,Callicebus medemi,Callicebus purinus,Callicebus regulus,Callicebus torquatus,Callicebus aureipalatii,Callicebus caquetensis,Pithecia pithecia,Pithecia monachus,Pithecia irrorata,Pithecia aequatorialis,Pithecia albicans,Pithecia chrysocephala,Pithecia milleri,Pithecia napensis,Pithecia vanzolinii,Chiropotes satanas,Chiropotes chiropotes,Chiropotes israelita,Chiropotes utahickae,Chiropotes albinasus,Cacajao melanocephalus,Cacajao calvus,Cacajao ayresii,Cacajao hosomi,Alouatta belzebul,Alouatta caraya,Alouatta palliata,Alouatta pigra,Alouatta arctoidea,Alouatta belzebul,Alouatta caraya,Alouatta coibensis,Alouatta discolor,Alouatta guariba,Alouatta juara,Alouatta macconnelli,Alouatta nigerrima,Alouatta palliata,Alouatta pigra,Alouatta puruensis,Alouatta sara,Alouatta seniculus,Alouatta ululata,Ateles paniscus,Ateles hybridus,Ateles fusciceps,Ateles geoffroyi,Ateles paniscus,Ateles belzebuth,Ateles chamek,Ateles hybridus,Ateles marginatus,Ateles fusciceps,Ateles geoffroyi,Brachyteles arachnoides,Brachyteles hypoxanthus,Lagothrix lagotricha,Lagothrix cana,Lagothrix lugens,Lagothrix poeppigii,Oreonax flavicauda,Allenopithecus nigroviridis,Miopithecus talapoin,Cercopithecus diana,Macaca radiata,Lophocebus albigena,Mandrillus sphinx,Allenopithecus nigroviridis,Miopithecus talapoin,Miopithecus ogouensis,Erythrocebus patas,Chlorocebus sabaeus,Chlorocebus aethiops,Chlorocebus djamdjamensis,Chlorocebus tantalus,Chlorocebus pygerythrus,Chlorocebus cynosuros,Cercopithecus dryas,Cercopithecus diana,Cercopithecus roloway,Cercopithecus nictitans,Cercopithecus mitis,Cercopithecus doggetti,Cercopithecus kandti,Cercopithecus albogularis,Cercopithecus mona,Cercopithecus campbelli,Cercopithecus lowei,Cercopithecus pogonias,Cercopithecus wolfi,Cercopithecus denti,Cercopithecus petaurista,Cercopithecus erythrogaster,Cercopithecus sclateri,Cercopithecus erythrotis,Cercopithecus cephus,Cercopithecus ascanius,Cercopithecus lhoesti,Cercopithecus preussi,Cercopithecus solatus,Cercopithecus lomamiensis,Cercopithecus hamlyni,Cercopithecus neglectus,Macaca sylvanus,Macaca silenus,Macaca nemestrina,Macaca leonina,Macaca pagensis,Macaca siberu,Macaca maura,Macaca ochreata,Macaca tonkeana,Macaca hecki,Macaca nigrescens,Macaca nigra,Macaca fascicularis,Macaca arctoides,Macaca mulatta,Macaca cyclopis,Macaca fuscata,Macaca sinica,Macaca radiata,Macaca assamensis,Macaca thibetana,Macaca munzala,Macaca leucogenys,Lophocebus albigena,Lophocebus aterrimus,Lophocebus opdenboschi,Lophocebus ugandae,Lophocebus johnstoni,Lophocebus osmani,Rungwecebus kipunji,Papio hamadryas,Papio papio,Papio anubis,Papio cynocephalus,Papio ursinus,Theropithecus gelada,Cercocebus atys,Cercocebus torquatus,Cercocebus agilis,Cercocebus chrysogaster,Cercocebus galeritus,Cercocebus sanjei,Mandrillus sphinx,Mandrillus leucophaeus,Colobus satanas,Colobus angolensis,Colobus polykomos,Colobus vellerosus,Colobus guereza,Procolobus badius,Procolobus pennantii,Procolobus preussi,Procolobus tholloni,Procolobus foai,Procolobus tephrosceles,Procolobus gordonorum,Procolobus kirkii,Procolobus rufomitratus,Procolobus epieni,Procolobus verus,Semnopithecus schistaceus,Semnopithecus ajax,Semnopithecus hector,Semnopithecus entellus,Semnopithecus hypoleucos,Semnopithecus dussumieri,Semnopithecus priam,Trachypithecus vetulus,Trachypithecus johnii,Trachypithecus auratus,Trachypithecus cristatus,Trachypithecus germaini,Trachypithecus barbei,Trachypithecus obscurus,Trachypithecus phayrei,Trachypithecus pileatus,Trachypithecus shortridgei,Trachypithecus geei,Trachypithecus francoisi,Trachypithecus hatinhensis,Trachypithecus poliocephalus,Trachypithecus laotum,Trachypithecus delacouri,Trachypithecus ebenus,Presbytis melalophos,Presbytis femoralis,Presbytis chrysomelas,Presbytis siamensis,Presbytis frontata,Presbytis comata,Presbytis thomasi,Presbytis hosei,Presbytis rubicunda,Presbytis potenziani,Presbytis natunae,Pygathrix nemaeus,Pygathrix nigripes,Pygathrix cinerea,Rhinopithecus roxellana,Rhinopithecus bieti,Rhinopithecus brelichi,Rhinopithecus strykeri,Rhinopithecus avunculus,Nasalis larvatus,Simias concolor,Hylobates lar,Hylobates albibarbis,Hylobates agilis,Hylobates muelleri,Hylobates moloch,Hylobates pileatus,Hylobates klossii,Hoolock hoolock,Hoolock leuconedys,Symphalangus syndactylus,Nomascus concolor,Nomascus nasutus,Nomascus hainanus,Nomascus leucogenys,Nomascus siki,Nomascus gabriellae,Nomascus annamensis,Pongo pygmaeus,Pongo abelii,Gorilla gorilla,Gorilla beringei,Pan troglodytes,Pan paniscus,Homo sapiens"
11-Jan-16,https://en.wikipedia.org/wiki/Felidae,Felidae_problem,list of felid species,87,"Felis bieti,Felis catus,Felis chaus,Felis margarita,Felis nigripes,Felix sylvestris,Neofelis nebulosa,Neofelis diardi,Panthera leo,Panthera onca,Panthera pardus,Panthera tigris,Panthera uncia,Acinonyx jubatus,Caracol aurata,Caracol caracal,Catopuma badia,Catopuma temminckii,Leopardus braccatus,Leopardus colocolo,Leopardus geoffroyi,Leopardus guigna,Leopardus guttulus,Leopardus jacobita,Leopardus pajeros,Leopardus pardalis,Leopardus tigrinus,Leopardus wiedii,Leptailurus serval,Lynx canadensis,Lynx lynx,Lynx pardinus,Lynx ruphus,Otocolobus manul,Pardofelis marmorata,Prionailurus planiceps,Prionailurus rubiginosus,Felis viverrina,Prionailurus bengalensis,Puma concolor,Puma yagouaroundi,Lynx issiodorensis,Acinonyx pardinensis,Acinonyx aicha,Acinonyx intermedius,Felis attica ,Felis lunensis ,Panthera atrox,Panthera blytheae,Panthera combaszoe,Panthera crassidens,Panthera gombaszoegensis,Panthera palaeosinensis,Panthera schreuderi,Panthera spelaea,Panthera toscana,Panthera youngi,Panthera zdanskyi,Puma pardoides,Dinofelis aronoki,Dinofelis barlowi,Dinofelis cristata,Dinofelis darti,Dinofelis diastemata,Dinofelis paleoonca,Dinofelis petteri,Dinofelis piveteaui,Miracinonyx inexpectatus,Miracinonyx trumani,Nimravides pedionomus,Nimravides hibbardi,Nimravides galiani,Nimravides thinobates,Pratifelis martini,Pseudaelurus aeluroides,Pseudaelurus cuspidatus,Pseudaelurus guangheensis,Pseudaelurus intrepidus,Pseudaelurus lorteti,Pseudaelurus marshi,Pseudaelurus quadridentatus,Pseudaelurus romieviensis,Pseudaelurus skinneri,Pseudaelurus stouti,Pseudaelurus turnauensis,Pseudaelurus validus,Proailurus lemanensis"
11-Jan-16,http://botany.si.edu/dcflora/,DC-Baltimore Gymnospermae_problem,Gymnosperms of the DC-Baltimore area,14,"Chamaecyparis thyoides,Juniperus virginiana,Taxodium distichum,Picea abies,Pinus echinata,Pinus pungens,Pinus rigida,Pinus strobus,Pinus sylvestris,Pinus taeda,Pinus virginiana ,Tsuga canadensis,Taxus baccata ,Taxus canadensis"
11-Jan-16,"http://www.animalplanet.com/pets/other-pets/small-pets/,http://www.thetoptens.com/best-house-pets/,http://www.familycircle.com/family-fun/pets/uncommon-pets-for-families/",Pets_problem,Common household pets,30,"Canis lupus familiaris,Felis catus,Oryctolagus cuniculus,Cricetus cricetus,Mesocricetus auratus,Phodopus campbelli,Eublepharis macularius,Rhacodactylus ciliatus,Serinus canaria,Carduelis tristis,Taeniopygia guttata,Erythrura gouldiae,Nymphicus hollandicus,Agapornis fischeri,Melopsittacus undulatus,Psittacus erithacus erithacus,Mustela putorius furo,Trachemys scripta elegans,Terrapene carolina carolina,Cavia porcellus,Betta splendens,Cyprinus auratus,Poecilia reticulata,Chinchilla chinchilla,Lampropeltis getula californiae,Elaphe guttata,Python regius,Coenobita clypeatus,Brachypelma smithi,Grammostola rosea"
11-Jan-16,http://www.allergysf.com/2015/06/02/complete-list-of-tree-nuts-2/,Treenuts_problem,Common treenuts,19,"Prunus dulcis,Fagus sylvatica,Bertholletia excelsa,Juglans cinerea,Anacardium occidentale,Castanea sativa,Castanea pumila,Cocos nucifera,Corylus avelana,Ginkgo biloba,Carya cordiformis,Carya illinoinensis,Nephelium litchi,Macadamia integrifolia,Pinus koraiensis,Canarium ovatum,Pistacia vera,Vitellaria paradoxa,Juglans nigra"
