Aerosakkonema funiforme
Arthrospira jenneri
Arthrospira maxima
Arthrospira platensis
Cephalothrix lacustris
Gloeobacter violaceus
Microcoleus autumnalis
Microcoleus vaginatus
Oxynema thaianum
Phormdium irriguum
Phormidium ambiguum
Phormidium uncinatum
Planktothricoides raciborskii
Planktothrix agardhii
Planktothrix mougeotii
Planktothrix rubescens
Trichodesmium contortum
Trichodesmium erythraeum
Trichodesmium havanum
Trichodesmium hildebrandtii
Trichodesmium tenue
Trichodesmium thiebautii
Tychonema bourrellyi
Tychonema tenue
Wilmottia murrayi
