Abeillia abeillei
Abroscopus albogularis
Abroscopus schisticeps
Abroscopus superciliaris
Aburria aburri
Acanthagenys rufogularis
Acanthidops bairdii
Acanthisitta chloris
Acanthiza chrysorrhoa
Acanthiza ewingii
Acanthiza inornata
Acanthiza iredalei
Acanthiza katherina
Acanthiza lineata
Acanthiza murina
Acanthiza nana
Acanthiza pusilla
Acanthiza reguloides
Acanthiza robustirostris
Acanthiza uropygialis
Acanthorhynchus superciliosus
Acanthorhynchus tenuirostris
Acanthornis magnus
Accipiter albogularis
Accipiter badius
Accipiter bicolor
Accipiter brachyurus
Accipiter brevipes
Accipiter butleri
Accipiter castanilius
Accipiter chionogaster
Accipiter cirrocephalus
Accipiter collaris
Accipiter cooperii
Accipiter erythrauchen
Accipiter erythronemius
Accipiter erythropus
Accipiter fasciatus
Accipiter francesii
Accipiter gentilis
Accipiter griseiceps
Accipiter gularis
Accipiter gundlachi
Accipiter haplochrous
Accipiter henicogrammus
Accipiter henstii
Accipiter imitator
Accipiter luteoschistaceus
Accipiter madagascariensis
Accipiter melanochlamys
Accipiter melanoleucus
Accipiter meyerianus
Accipiter minullus
Accipiter nanus
Accipiter nisus
Accipiter novaehollandiae
Accipiter ovampensis
Accipiter poliocephalus
Accipiter poliogaster
Accipiter princeps
Accipiter rhodogaster
Accipiter rufitorques
Accipiter rufiventris
Accipiter soloensis
Accipiter striatus
Accipiter superciliosus
Accipiter tachiro
Accipiter toussenelii
Accipiter trinotatus
Accipiter trivirgatus
Accipiter ventralis
Accipiter virgatus
Aceros cassidix
Aceros comatus
Aceros corrugatus
Aceros leucocephalus
Aceros nipalensis
Aceros plicatus
Aceros subruficollis
Aceros undulatus
Aceros waldeni
Acestrura mulsant
Achaetops pycnopygius
Acridotheres albocinctus
Acridotheres cinereus
Acridotheres cristatellus
Acridotheres fuscus
Acridotheres ginginianus
Acridotheres grandis
Acridotheres tristis
Acrocephalus aedon
Acrocephalus aequinoctialis
Acrocephalus agricola
Acrocephalus arundinaceus
Acrocephalus atyphus
Acrocephalus australis
Acrocephalus baeticatus
Acrocephalus bistrigiceps
Acrocephalus brevipennis
Acrocephalus caffer
Acrocephalus concinens
Acrocephalus dumetorum
Acrocephalus familiaris
Acrocephalus gracilirostris
Acrocephalus griseldis
Acrocephalus kerearako
Acrocephalus luscinia
Acrocephalus melanopogon
Acrocephalus mendanae
Acrocephalus newtoni
Acrocephalus paludicola
Acrocephalus palustris
Acrocephalus rehsei
Acrocephalus rimatarae
Acrocephalus rufescens
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Acrocephalus sorghophilus
Acrocephalus stentoreus
Acrocephalus syrinx
Acrocephalus taiti
Acrocephalus vaughani
Acropternis orthonyx
Acryllium vulturinum
Actenoides bougainvillei
Actenoides concretus
Actenoides hombroni
Actenoides lindsayi
Actenoides monachus
Actenoides princeps
Actinodura egertoni
Actinodura morrisoniana
Actinodura nipalensis
Actinodura ramsayi
Actinodura souliei
Actinodura waldeni
Actophilornis africanus
Actophilornis albinucha
Adelomyia melanogenys
Aechmophorus clarkii
Aechmophorus occidentalis
Aegithalos caudatus
Aegithalos concinnus
Aegithalos fuliginosus
Aegithalos iouschistos
Aegithalos leucogenys
Aegithalos niveogularis
Aegithina lafresnayei
Aegithina nigrolutea
Aegithina tiphia
Aegithina viridissima
Aegolius acadicus
Aegolius funereus
Aegolius harrisii
Aegotheles albertisi
Aegotheles archboldi
Aegotheles bennettii
Aegotheles crinifrons
Aegotheles cristatus
Aegotheles insignis
Aegotheles savesi
Aegotheles wallacii
Aegypius monachus
Aenigmatolimnas marginalis
Aepypodius arfakianus
Aepypodius bruijnii
Aeronautes andecolus
Aeronautes montivagus
Aeronautes saxatalis
Aethia cristatella
Aethia pusilla
Aethia pygmaea
Aethopyga boltoni
Aethopyga christinae
Aethopyga duyvenbodei
Aethopyga eximia
Aethopyga flagrans
Aethopyga gouldiae
Aethopyga ignicauda
Aethopyga mystacalis
Aethopyga nipalensis
Aethopyga primigenius
Aethopyga pulcherrima
Aethopyga saturata
Aethopyga shelleyi
Aethopyga siparaja
Afropavo congensis
Agamia agami
Agapornis canus
Agapornis fischeri
Agapornis lilianae
Agapornis nigrigenis
Agapornis personatus
Agapornis pullarius
Agapornis roseicollis
Agapornis swindernianus
Agapornis taranta
Agelaius cyanopus
Agelaius flavus
Agelaius humeralis
Agelaius icterocephalus
Agelaius phoeniceus
Agelaius ruficapillus
Agelaius thilius
Agelaius tricolor
Agelaius xanthomus
Agelaius xanthophthalmus
Agelastes meleagrides
Agelastes niger
Aglaeactis aliciae
Aglaeactis castelnaudii
Aglaeactis cupripennis
Aglaeactis pamela
Aglaiocercus coelestis
Aglaiocercus kingi
Agriocharis ocellata
Agriornis andicola
Agriornis montana
Ailuroedus buccoides
Ailuroedus crassirostris
Ailuroedus dentirostris
Ailuroedus melanotis
Aimophila aestivalis
Aimophila botterii
Aimophila carpalis
Aimophila cassinii
Aimophila humeralis
Aimophila mystacalis
Aimophila notosticta
Aimophila quinquestriata
Aimophila rufescens
Aimophila ruficauda
Aimophila ruficeps
Aimophila stolzmanni
Aimophila strigiceps
Aimophila sumichrasti
Aix galericulata
Aix sponsa
Ajaia ajaja
Alaemon alaudipes
Alaemon hamertoni
Alaotra
Alauda arvensis
Alauda gulgula
Alauda japonica
Alauda razae
Alca torda
Alcedo argentata
Alcedo atthis
Alcedo azurea
Alcedo coerulescens
Alcedo cristata
Alcedo cyanopecta
