vernacularName,scientificName,scientificNameAuthorship,Family,Order,Phylum,nomenclaturalCode
Gray wolf,Canis lupus,NA,NA,NA,NA,NA
Tiger,Panthera tigris,NA,NA,NA,NA,NA
Lion,Panthera leo,NA,NA,NA,NA,NA
Bonobo,Pan paniscus,NA,NA,NA,NA,NA
Mountain gorilla,Gorilla beringei,NA,NA,NA,NA,NA
Grizzly bear,Ursus arctos,NA,NA,NA,NA,NA
Lowland gorilla,Gorilla gorilla,NA,NA,NA,NA,NA
Human,Homo sapiens,NA,NA,NA,NA,NA
Leopard,Panthera pardus,NA,NA,NA,NA,NA
Polar bear,Ursus maritimus,NA,NA,NA,NA,NA
Giant panda,Ailuropoda melanoleuca,NA,NA,NA,NA,NA
Horned owl,Bubo virginianus,NA,NA,NA,NA,NA
Golden eagle,Aquila chrysaetos,NA,NA,NA,NA,NA
Raven,Corvus corax,NA,NA,NA,NA,NA
Bald eagle,Haliaeetus leucocephalus,NA,NA,NA,NA,NA
Mountain lion,Puma concolor,NA,NA,NA,NA,NA
Killer whale,Orcinus orca,NA,NA,NA,NA,NA
Emperor penguin,Aptenodytes forsteri,NA,NA,NA,NA,NA
Jaguar,Panthera onca,NA,NA,NA,NA,NA
Barn owl,Tyto alba,NA,NA,NA,NA,NA
